user_id,recency,frequency,monetary,last_trip_time,rfm_score,segments
R00034,9,22,325.36,2025-04-19,12,High‑Value Loyalists
R00035,6,11,181.79,2025-04-22,6,Occasional Riders
R00036,14,24,339.99,2025-04-14,11,Regular Commuters
R00037,30,19,285.91,2025-03-29,7,Occasional Riders
R00038,22,18,237.01,2025-04-06,5,At Risk Users
R00039,7,14,172.69,2025-04-21,6,Occasional Riders
R00040,10,15,195.9,2025-04-18,6,Occasional Riders
R00041,1,17,245.22,2025-04-27,9,Regular Commuters
R00042,21,17,227.24,2025-04-07,5,At Risk Users
R00043,3,21,354.73,2025-04-25,12,High‑Value Loyalists
R00044,62,18,310.09000000000003,2025-02-25,6,Occasional Riders
R00045,30,18,299.44,2025-03-29,7,Occasional Riders
R00046,10,29,426.03,2025-04-18,14,High‑Value Loyalists
R00047,8,21,344.63,2025-04-20,11,Regular Commuters
R00048,1,21,313.11,2025-04-27,11,Regular Commuters
R00049,4,18,267.75,2025-04-24,9,Regular Commuters
R00050,97,13,207.6,2025-01-21,3,At Risk Users
R00051,17,22,303.25,2025-04-11,10,Regular Commuters
R00052,24,22,344.53,2025-04-04,10,Regular Commuters
R00053,3,19,283.79,2025-04-25,9,Regular Commuters
R00054,5,15,249.13,2025-04-23,8,Occasional Riders
R00055,11,18,309.3,2025-04-17,8,Occasional Riders
R00056,41,23,348.64,2025-03-18,9,Regular Commuters
R00057,22,26,384.87,2025-04-06,12,High‑Value Loyalists
R00058,7,16,252.76,2025-04-21,7,Occasional Riders
R00059,103,18,259.42,2025-01-15,5,At Risk Users
R00060,8,19,271.8,2025-04-20,8,Occasional Riders
R00061,50,26,395.84000000000003,2025-03-09,11,Regular Commuters
R00062,26,22,344.3,2025-04-02,10,Regular Commuters
R00063,3,18,284.54,2025-04-25,9,Regular Commuters
R00064,17,13,240.39,2025-04-11,5,At Risk Users
R00065,8,18,315.37,2025-04-20,9,Regular Commuters
R00066,44,19,269.15,2025-03-15,5,At Risk Users
R00067,44,15,189.86,2025-03-15,3,At Risk Users
R00068,5,26,386.43,2025-04-23,15,High‑Value Loyalists
R00069,2,25,331.09,2025-04-26,14,High‑Value Loyalists
R00070,18,18,296.24,2025-04-10,8,Occasional Riders
R00071,4,32,439.81,2025-04-24,15,High‑Value Loyalists
R00072,22,20,307.01,2025-04-06,8,Occasional Riders
R00073,13,16,294.43,2025-04-15,7,Occasional Riders
R00074,7,21,316.65,2025-04-21,10,Regular Commuters
R00075,17,21,346.8,2025-04-11,10,Regular Commuters
R00076,35,19,278.36,2025-03-24,5,At Risk Users
R00077,25,13,226.78,2025-04-03,4,At Risk Users
R00078,1,19,327.38,2025-04-27,11,Regular Commuters
R00079,13,31,517.05,2025-04-15,13,High‑Value Loyalists
R00080,74,20,326.02,2025-02-13,8,Occasional Riders
R00081,49,25,382.93,2025-03-10,11,Regular Commuters
R00082,1,21,370.72,2025-04-27,13,High‑Value Loyalists
R00083,20,17,286.36,2025-04-08,7,Occasional Riders
R00084,11,20,345.95,2025-04-17,10,Regular Commuters
R00085,54,19,273.57,2025-03-05,5,At Risk Users
R00086,46,24,356.04,2025-03-13,9,Regular Commuters
R00087,6,20,315.32,2025-04-22,10,Regular Commuters
R00088,7,21,318.18,2025-04-21,10,Regular Commuters
R00089,16,30,496.09,2025-04-12,13,High‑Value Loyalists
R00090,25,24,406.65,2025-04-03,11,Regular Commuters
R00091,133,15,247.52,2024-12-16,4,At Risk Users
R00092,8,22,368.51,2025-04-20,12,High‑Value Loyalists
R00093,1,26,368.76,2025-04-27,14,High‑Value Loyalists
R00094,11,20,264.42,2025-04-17,8,Occasional Riders
R00095,85,22,364.74,2025-02-02,9,Regular Commuters
R00096,14,23,357.83,2025-04-14,11,Regular Commuters
R00097,33,16,208.87,2025-03-26,3,At Risk Users
R00098,3,24,357.52,2025-04-25,13,High‑Value Loyalists
R00099,15,26,395.9,2025-04-13,13,High‑Value Loyalists
R00100,22,23,383.65,2025-04-06,11,Regular Commuters
R00101,3,28,401.03,2025-04-25,15,High‑Value Loyalists
R00102,18,12,171.6,2025-04-10,5,At Risk Users
R00103,26,22,332.85,2025-04-02,10,Regular Commuters
R00104,21,17,284.03,2025-04-07,6,Occasional Riders
R00105,20,24,383.98,2025-04-08,11,Regular Commuters
R00106,10,21,333.96999999999997,2025-04-18,11,Regular Commuters
R00107,27,13,228.5,2025-04-01,4,At Risk Users
R00108,10,20,301.90999999999997,2025-04-18,10,Regular Commuters
R00109,3,21,300.33,2025-04-25,11,Regular Commuters
R00110,44,12,219.6,2025-03-15,3,At Risk Users
R00111,4,22,320.63,2025-04-24,12,High‑Value Loyalists
R00112,21,18,288.27,2025-04-07,7,Occasional Riders
R00113,14,21,365.87,2025-04-14,10,Regular Commuters
R00114,4,28,499.38,2025-04-24,15,High‑Value Loyalists
R00115,18,18,264.76,2025-04-10,7,Occasional Riders
R00116,11,21,360.78,2025-04-17,10,Regular Commuters
R00117,2,25,346.5,2025-04-26,14,High‑Value Loyalists
R00118,37,16,265.4,2025-03-22,4,At Risk Users
R00119,5,17,251.88,2025-04-23,9,Regular Commuters
R00120,3,14,207.7,2025-04-25,7,Occasional Riders
R00121,8,9,126.46000000000001,2025-04-20,6,Occasional Riders
R00122,59,18,276.9,2025-02-28,5,At Risk Users
R00123,18,23,311.43,2025-04-10,10,Regular Commuters
R00124,5,21,346.26,2025-04-23,12,High‑Value Loyalists
R00125,9,21,347.36,2025-04-19,11,Regular Commuters
R00126,8,26,413.12,2025-04-20,14,High‑Value Loyalists
R00127,8,16,242.22,2025-04-20,6,Occasional Riders
R00128,23,19,302.01,2025-04-05,7,Occasional Riders
R00129,14,18,307.89,2025-04-14,8,Occasional Riders
R00130,3,19,287.0,2025-04-25,10,Regular Commuters
R00131,2,30,463.41,2025-04-26,15,High‑Value Loyalists
R00132,4,16,222.95,2025-04-24,7,Occasional Riders
R00133,11,24,401.13,2025-04-17,12,High‑Value Loyalists
R00134,47,16,238.48,2025-03-12,3,At Risk Users
R00135,105,12,176.37,2025-01-13,3,At Risk Users
R00136,28,18,274.63,2025-03-31,6,Occasional Riders
R00137,8,21,319.67,2025-04-20,10,Regular Commuters
R00138,34,19,303.34,2025-03-25,6,Occasional Riders
R00139,38,23,343.67,2025-03-21,9,Regular Commuters
R00140,19,19,312.18,2025-04-09,7,Occasional Riders
R00141,49,24,337.09000000000003,2025-03-10,9,Regular Commuters
R00142,2,24,361.8,2025-04-26,13,High‑Value Loyalists
R00143,18,19,326.51,2025-04-10,9,Regular Commuters
R00144,7,25,416.8,2025-04-21,14,High‑Value Loyalists
R00145,6,21,402.64,2025-04-22,12,High‑Value Loyalists
R00146,4,15,254.68,2025-04-24,8,Occasional Riders
R00147,12,23,404.86,2025-04-16,12,High‑Value Loyalists
R00148,17,14,215.59,2025-04-11,5,At Risk Users
R00149,58,22,334.41,2025-03-01,9,Regular Commuters
R00150,58,13,164.34,2025-03-01,3,At Risk Users
R00151,1,23,384.85,2025-04-27,14,High‑Value Loyalists
R00152,32,31,521.06,2025-03-27,11,Regular Commuters
R00153,9,20,287.7,2025-04-19,10,Regular Commuters
R00154,2,23,351.69,2025-04-26,13,High‑Value Loyalists
R00155,24,17,274.15999999999997,2025-04-04,6,Occasional Riders
R00156,41,13,216.95000000000002,2025-03-18,3,At Risk Users
R00157,10,26,367.5,2025-04-18,13,High‑Value Loyalists
R00158,4,25,387.24,2025-04-24,15,High‑Value Loyalists
R00159,16,17,269.11,2025-04-12,7,Occasional Riders
R00160,1,18,290.68,2025-04-27,10,Regular Commuters
R00161,2,19,298.01,2025-04-26,10,Regular Commuters
R00162,19,23,372.39,2025-04-09,11,Regular Commuters
R00163,8,16,254.07999999999998,2025-04-20,7,Occasional Riders
R00164,5,24,395.06,2025-04-23,14,High‑Value Loyalists
R00165,11,24,361.35,2025-04-17,11,Regular Commuters
R00166,19,23,365.87,2025-04-09,10,Regular Commuters
R00167,6,19,325.61,2025-04-22,10,Regular Commuters
R00168,9,17,276.27,2025-04-19,8,Occasional Riders
R00169,7,20,268.39,2025-04-21,9,Regular Commuters
R00170,13,14,206.54,2025-04-15,5,At Risk Users
R00171,2,20,300.03,2025-04-26,11,Regular Commuters
R00172,11,26,377.28999999999996,2025-04-17,13,High‑Value Loyalists
R00173,90,19,304.13,2025-01-28,6,Occasional Riders
R00174,2,23,383.27,2025-04-26,14,High‑Value Loyalists
R00175,25,11,155.68,2025-04-03,4,At Risk Users
R00176,13,26,381.63,2025-04-15,13,High‑Value Loyalists
R00177,72,21,339.64,2025-02-15,8,Occasional Riders
R00178,4,23,356.15,2025-04-24,13,High‑Value Loyalists
R00179,36,25,380.19,2025-03-23,11,Regular Commuters
R00180,8,14,205.14000000000001,2025-04-20,6,Occasional Riders
R00181,6,18,262.74,2025-04-22,8,Occasional Riders
R00182,20,17,223.07,2025-04-08,5,At Risk Users
R00183,13,24,385.74,2025-04-14,12,High‑Value Loyalists
R00184,17,19,313.37,2025-04-11,8,Occasional Riders
R00185,4,19,289.74,2025-04-24,10,Regular Commuters
R00186,2,10,131.33,2025-04-26,7,Occasional Riders
R00187,76,18,292.28000000000003,2025-02-11,6,Occasional Riders
R00188,9,14,219.67000000000002,2025-04-19,6,Occasional Riders
R00189,9,31,462.11,2025-04-19,14,High‑Value Loyalists
R00190,43,17,297.7,2025-03-16,6,Occasional Riders
R00191,6,16,232.01,2025-04-22,6,Occasional Riders
R00192,2,24,317.24,2025-04-26,12,High‑Value Loyalists
R00193,4,17,321.95,2025-04-24,10,Regular Commuters
R00194,21,22,368.93,2025-04-07,10,Regular Commuters
R00195,10,20,322.01,2025-04-18,10,Regular Commuters
R00196,23,16,265.72,2025-04-05,5,At Risk Users
R00197,65,6,99.73,2025-02-22,3,At Risk Users
R00198,11,22,338.21999999999997,2025-04-17,11,Regular Commuters
R00199,43,15,223.86,2025-03-16,3,At Risk Users
R00200,7,25,340.05,2025-04-21,13,High‑Value Loyalists
R00201,25,11,165.96,2025-04-03,4,At Risk Users
R00202,38,7,111.2,2025-03-21,3,At Risk Users
R00203,4,19,275.64,2025-04-24,9,Regular Commuters
R00204,26,18,262.23,2025-04-02,6,Occasional Riders
R00205,10,23,364.0,2025-04-18,12,High‑Value Loyalists
R00206,11,15,221.34,2025-04-17,5,At Risk Users
R00207,2,23,366.51,2025-04-26,13,High‑Value Loyalists
R00208,56,14,235.34,2025-03-03,3,At Risk Users
R00209,29,18,264.29,2025-03-30,6,Occasional Riders
R00210,25,20,319.67,2025-04-03,8,Occasional Riders
R00211,4,15,214.77,2025-04-24,7,Occasional Riders
R00212,4,21,316.32,2025-04-24,11,Regular Commuters
R00213,7,25,351.69,2025-04-21,13,High‑Value Loyalists
R00214,10,17,245.51,2025-04-18,8,Occasional Riders
R00215,15,22,331.39,2025-04-13,11,Regular Commuters
R00216,10,19,311.96,2025-04-18,9,Regular Commuters
R00217,11,21,284.48,2025-04-17,8,Occasional Riders
R00218,7,20,301.34,2025-04-21,10,Regular Commuters
R00219,7,21,364.69,2025-04-21,11,Regular Commuters
R00220,7,23,357.36,2025-04-21,12,High‑Value Loyalists
R00221,3,24,428.40999999999997,2025-04-25,14,High‑Value Loyalists
R00222,23,15,221.03,2025-04-05,4,At Risk Users
R00223,36,22,334.06,2025-03-23,9,Regular Commuters
R00224,23,17,296.57,2025-04-05,7,Occasional Riders
R00225,12,13,216.7,2025-04-16,5,At Risk Users
R00226,34,22,312.66,2025-03-25,8,Occasional Riders
R00227,7,13,171.8,2025-04-21,6,Occasional Riders
R00228,24,18,241.02,2025-04-04,5,At Risk Users
R00229,2,21,353.51,2025-04-26,12,High‑Value Loyalists
R00230,19,24,388.6,2025-04-09,11,Regular Commuters
R00231,13,22,312.44,2025-04-15,10,Regular Commuters
R00232,7,14,210.96,2025-04-21,6,Occasional Riders
R00233,3,25,408.9,2025-04-25,15,High‑Value Loyalists
R00234,15,14,212.26999999999998,2025-04-13,5,At Risk Users
R00235,9,27,409.18,2025-04-19,14,High‑Value Loyalists
R00236,5,16,273.74,2025-04-23,8,Occasional Riders
R00237,9,15,271.13,2025-04-19,7,Occasional Riders
R00238,1,15,203.47,2025-04-27,7,Occasional Riders
R00239,17,14,225.81,2025-04-11,5,At Risk Users
R00240,19,14,231.58,2025-04-09,4,At Risk Users
R00241,16,29,485.98,2025-04-12,13,High‑Value Loyalists
R00242,24,17,238.34,2025-04-04,5,At Risk Users
R00243,26,16,261.08,2025-04-02,5,At Risk Users
R00244,27,15,205.35,2025-04-01,4,At Risk Users
R00245,9,21,289.15999999999997,2025-04-19,10,Regular Commuters
R00246,16,24,312.98,2025-04-12,10,Regular Commuters
R00247,71,18,285.47,2025-02-16,5,At Risk Users
R00248,41,25,392.49,2025-03-18,11,Regular Commuters
R00249,6,23,319.32,2025-04-22,11,Regular Commuters
R00250,2,21,333.29,2025-04-26,12,High‑Value Loyalists
R00251,3,19,305.95,2025-04-25,10,Regular Commuters
R00252,10,27,363.82,2025-04-18,13,High‑Value Loyalists
R00253,7,21,340.37,2025-04-21,11,Regular Commuters
R00254,11,26,399.61,2025-04-17,13,High‑Value Loyalists
R00255,7,15,221.4,2025-04-21,6,Occasional Riders
R00256,24,15,216.03,2025-04-04,4,At Risk Users
R00257,4,21,359.34,2025-04-24,12,High‑Value Loyalists
R00258,36,22,311.73,2025-03-23,8,Occasional Riders
R00259,21,18,243.82999999999998,2025-04-07,5,At Risk Users
R00260,14,18,249.66,2025-04-14,7,Occasional Riders
R00261,5,13,198.07,2025-04-23,7,Occasional Riders
R00262,10,22,331.95,2025-04-18,12,High‑Value Loyalists
R00263,7,23,300.86,2025-04-21,11,Regular Commuters
R00264,53,14,200.99,2025-03-06,3,At Risk Users
R00265,7,20,277.81,2025-04-21,9,Regular Commuters
R00266,24,20,315.79,2025-04-04,8,Occasional Riders
R00267,24,25,386.51,2025-04-04,12,High‑Value Loyalists
R00268,18,20,302.25,2025-04-10,9,Regular Commuters
R00269,11,25,447.42,2025-04-17,13,High‑Value Loyalists
R00270,1,25,401.63,2025-04-27,15,High‑Value Loyalists
R00271,12,21,274.64,2025-04-16,8,Occasional Riders
R00272,2,29,434.36,2025-04-26,15,High‑Value Loyalists
R00273,19,22,387.96,2025-04-09,11,Regular Commuters
R00274,31,18,253.33,2025-03-28,5,At Risk Users
R00275,8,14,184.42,2025-04-20,6,Occasional Riders
R00276,28,20,273.06,2025-03-31,7,Occasional Riders
R00277,5,17,257.66,2025-04-23,9,Regular Commuters
R00278,17,23,364.87,2025-04-11,11,Regular Commuters
R00279,20,18,267.08,2025-04-08,6,Occasional Riders
R00280,52,24,376.36,2025-03-07,10,Regular Commuters
R00281,3,20,319.29,2025-04-25,11,Regular Commuters
R00282,29,21,319.62,2025-03-30,8,Occasional Riders
R00283,46,17,270.61,2025-03-13,5,At Risk Users
R00284,11,19,357.21999999999997,2025-04-17,9,Regular Commuters
R00285,12,19,275.33,2025-04-16,7,Occasional Riders
R00286,72,18,257.77,2025-02-15,5,At Risk Users
R00287,15,20,296.67,2025-04-13,9,Regular Commuters
R00288,61,19,306.38,2025-02-26,6,Occasional Riders
R00289,14,18,257.71,2025-04-14,7,Occasional Riders
R00290,5,22,366.76,2025-04-23,13,High‑Value Loyalists
R00291,16,22,323.47,2025-04-12,11,Regular Commuters
R00292,62,15,239.16,2025-02-25,3,At Risk Users
R00293,13,23,366.48,2025-04-15,11,Regular Commuters
R00294,11,19,287.89,2025-04-17,8,Occasional Riders
R00295,28,18,277.71000000000004,2025-03-31,6,Occasional Riders
R00296,1,14,202.03,2025-04-27,7,Occasional Riders
R00297,50,19,293.51,2025-03-09,6,Occasional Riders
R00298,38,16,180.84,2025-03-21,3,At Risk Users
R00299,6,17,235.34,2025-04-22,7,Occasional Riders
R00300,23,23,330.04,2025-04-05,10,Regular Commuters
R00301,14,16,260.65,2025-04-14,6,Occasional Riders
R00302,30,17,250.5,2025-03-29,6,Occasional Riders
R00303,6,21,337.38,2025-04-22,11,Regular Commuters
R00304,17,20,336.34999999999997,2025-04-11,10,Regular Commuters
R00305,14,20,314.63,2025-04-14,9,Regular Commuters
R00306,2,24,342.05,2025-04-26,13,High‑Value Loyalists
R00307,7,23,372.45,2025-04-21,13,High‑Value Loyalists
R00308,11,25,397.05,2025-04-17,13,High‑Value Loyalists
R00309,10,20,281.52,2025-04-18,9,Regular Commuters
R00310,10,24,366.78000000000003,2025-04-18,12,High‑Value Loyalists
R00311,26,24,361.46000000000004,2025-04-02,10,Regular Commuters
R00312,6,22,379.43,2025-04-22,13,High‑Value Loyalists
R00313,11,21,312.96,2025-04-17,9,Regular Commuters
R00314,94,25,405.91,2025-01-24,11,Regular Commuters
R00315,17,19,364.76,2025-04-11,9,Regular Commuters
R00316,22,12,175.21,2025-04-06,4,At Risk Users
R00317,31,15,266.87,2025-03-28,4,At Risk Users
R00318,18,22,372.01,2025-04-10,12,High‑Value Loyalists
R00319,26,21,321.71,2025-04-02,8,Occasional Riders
R00320,29,21,383.96999999999997,2025-03-30,10,Regular Commuters
R00321,4,21,324.19,2025-04-24,12,High‑Value Loyalists
R00322,24,20,309.46,2025-04-04,8,Occasional Riders
R00323,2,23,341.06,2025-04-26,13,High‑Value Loyalists
R00324,9,21,406.06,2025-04-19,12,High‑Value Loyalists
R00325,5,21,380.97,2025-04-23,13,High‑Value Loyalists
R00326,50,19,273.38,2025-03-09,5,At Risk Users
R00327,22,13,202.2,2025-04-06,4,At Risk Users
R00328,82,18,251.75,2025-02-05,5,At Risk Users
R00329,16,22,318.42,2025-04-12,10,Regular Commuters
R00330,36,12,182.61,2025-03-23,3,At Risk Users
R00331,22,19,285.5,2025-04-06,6,Occasional Riders
R00332,16,20,306.5,2025-04-12,9,Regular Commuters
R00333,13,22,288.91,2025-04-15,10,Regular Commuters
R00334,32,16,241.44,2025-03-27,3,At Risk Users
R00335,16,22,344.4,2025-04-12,11,Regular Commuters
R00336,12,19,267.67,2025-04-16,7,Occasional Riders
R00337,8,26,457.46999999999997,2025-04-20,14,High‑Value Loyalists
R00338,14,28,426.41,2025-04-14,13,High‑Value Loyalists
R00339,1,19,324.27,2025-04-27,11,Regular Commuters
R00340,35,27,484.93,2025-03-24,11,Regular Commuters
R00341,24,13,204.56,2025-04-04,4,At Risk Users
R00342,17,12,167.41,2025-04-11,5,At Risk Users
R00343,16,19,284.76,2025-04-12,7,Occasional Riders
R00344,4,19,278.01,2025-04-24,9,Regular Commuters
R00345,32,14,208.23,2025-03-27,3,At Risk Users
R00346,11,15,204.06,2025-04-17,5,At Risk Users
R00347,4,18,272.81,2025-04-24,9,Regular Commuters
R00348,12,18,253.79,2025-04-16,7,Occasional Riders
R00349,27,21,295.23,2025-04-01,8,Occasional Riders
R00350,16,18,258.78999999999996,2025-04-12,7,Occasional Riders
R00351,5,14,228.76,2025-04-23,7,Occasional Riders
R00352,12,25,401.05,2025-04-16,13,High‑Value Loyalists
R00353,4,14,205.9,2025-04-24,7,Occasional Riders
R00354,12,19,261.49,2025-04-16,7,Occasional Riders
R00355,10,29,464.45,2025-04-18,14,High‑Value Loyalists
R00356,83,11,176.82999999999998,2025-02-04,3,At Risk Users
R00357,42,21,312.4,2025-03-17,7,Occasional Riders
R00358,26,22,393.02,2025-04-02,11,Regular Commuters
R00359,51,16,272.01,2025-03-08,4,At Risk Users
R00360,13,21,342.53,2025-04-15,10,Regular Commuters
R00361,15,20,283.75,2025-04-13,8,Occasional Riders
R00362,82,19,276.28,2025-02-05,5,At Risk Users
R00363,13,18,292.85,2025-04-15,8,Occasional Riders
R00364,32,13,211.39000000000001,2025-03-27,3,At Risk Users
R00365,19,22,277.46999999999997,2025-04-09,8,Occasional Riders
R00366,22,23,376.9,2025-04-06,11,Regular Commuters
R00367,7,22,364.81,2025-04-21,12,High‑Value Loyalists
R00368,17,18,292.56,2025-04-11,8,Occasional Riders
R00369,11,19,280.19,2025-04-17,7,Occasional Riders
R00370,31,25,345.32,2025-03-28,10,Regular Commuters
R00371,24,15,261.4,2025-04-04,5,At Risk Users
R00372,6,24,361.01,2025-04-22,12,High‑Value Loyalists
R00373,18,24,349.84,2025-04-10,11,Regular Commuters
R00374,20,19,292.72,2025-04-08,7,Occasional Riders
R00375,1,16,269.85,2025-04-27,8,Occasional Riders
R00376,35,15,228.11,2025-03-24,3,At Risk Users
R00377,12,22,332.76,2025-04-16,11,Regular Commuters
R00378,31,19,254.02,2025-03-28,5,At Risk Users
R00379,62,18,245.87,2025-02-25,5,At Risk Users
R00380,7,22,323.27,2025-04-21,12,High‑Value Loyalists
R00381,30,25,357.2,2025-03-29,11,Regular Commuters
R00382,3,19,352.45,2025-04-25,11,Regular Commuters
R00383,3,19,291.96,2025-04-25,10,Regular Commuters
R00384,21,18,225.38,2025-04-07,5,At Risk Users
R00385,23,24,311.06,2025-04-05,9,Regular Commuters
R00386,11,20,325.55,2025-04-17,10,Regular Commuters
R00387,19,18,254.42000000000002,2025-04-09,6,Occasional Riders
R00388,14,27,420.37,2025-04-14,13,High‑Value Loyalists
R00389,37,16,239.3,2025-03-22,3,At Risk Users
R00390,42,23,374.1,2025-03-17,10,Regular Commuters
R00391,21,22,342.81,2025-04-07,10,Regular Commuters
R00392,11,19,289.1,2025-04-17,8,Occasional Riders
R00393,3,16,241.3,2025-04-25,7,Occasional Riders
R00394,6,16,273.83,2025-04-22,7,Occasional Riders
R00395,4,30,507.2,2025-04-24,15,High‑Value Loyalists
R00396,6,24,368.18,2025-04-22,12,High‑Value Loyalists
R00397,10,22,377.45,2025-04-18,13,High‑Value Loyalists
R00398,57,15,287.29,2025-03-02,5,At Risk Users
R00399,51,20,279.38,2025-03-08,6,Occasional Riders
R00400,9,14,213.66,2025-04-19,6,Occasional Riders
R00401,50,21,344.62,2025-03-09,8,Occasional Riders
R00402,29,19,261.82,2025-03-30,6,Occasional Riders
R00403,2,28,441.99,2025-04-26,15,High‑Value Loyalists
R00404,8,23,280.78999999999996,2025-04-20,10,Regular Commuters
R00405,7,21,397.93,2025-04-21,12,High‑Value Loyalists
R00406,59,16,269.76,2025-02-28,4,At Risk Users
R00407,76,18,306.1,2025-02-11,6,Occasional Riders
R00408,19,22,364.05,2025-04-09,10,Regular Commuters
R00409,6,26,395.75,2025-04-22,14,High‑Value Loyalists
R00410,41,21,344.6,2025-03-18,8,Occasional Riders
R00411,3,18,270.04,2025-04-25,9,Regular Commuters
R00412,6,19,251.92,2025-04-22,8,Occasional Riders
R00413,11,27,389.92,2025-04-17,13,High‑Value Loyalists
R00414,3,14,214.45,2025-04-25,7,Occasional Riders
R00415,1,20,271.05,2025-04-27,10,Regular Commuters
R00416,35,19,272.3,2025-03-24,5,At Risk Users
R00417,2,27,344.99,2025-04-26,14,High‑Value Loyalists
R00418,14,22,276.0,2025-04-14,9,Regular Commuters
R00419,7,21,334.02,2025-04-21,11,Regular Commuters
R00420,53,22,383.0,2025-03-06,10,Regular Commuters
R00421,1,16,210.34,2025-04-27,7,Occasional Riders
R00422,9,17,245.81,2025-04-19,8,Occasional Riders
R00423,54,28,481.55,2025-03-05,11,Regular Commuters
R00424,30,22,316.34,2025-03-29,9,Regular Commuters
R00425,6,18,276.83,2025-04-22,8,Occasional Riders
R00426,16,19,304.47,2025-04-12,8,Occasional Riders
R00427,99,15,255.52,2025-01-19,4,At Risk Users
R00428,2,23,373.8,2025-04-26,14,High‑Value Loyalists
R00429,17,27,349.52,2025-04-11,12,High‑Value Loyalists
R00430,34,19,322.59000000000003,2025-03-25,6,Occasional Riders
R00431,20,17,269.51,2025-04-08,6,Occasional Riders
R00432,12,16,225.28,2025-04-16,5,At Risk Users
R00433,25,17,237.96,2025-04-03,5,At Risk Users
R00434,41,15,274.21,2025-03-18,4,At Risk Users
R00435,20,12,189.95,2025-04-08,4,At Risk Users
R00436,19,15,187.28,2025-04-09,4,At Risk Users
R00437,41,16,218.89000000000001,2025-03-18,3,At Risk Users
R00438,3,16,246.63,2025-04-25,8,Occasional Riders
R00439,12,24,354.63,2025-04-16,11,Regular Commuters
R00440,48,12,203.95,2025-03-11,3,At Risk Users
R00441,4,20,345.64,2025-04-24,12,High‑Value Loyalists
R00442,6,22,377.23,2025-04-22,13,High‑Value Loyalists
R00443,6,12,178.84,2025-04-22,6,Occasional Riders
R00444,5,22,380.59999999999997,2025-04-23,14,High‑Value Loyalists
R00445,48,21,291.74,2025-03-11,7,Occasional Riders
R00446,3,31,449.58,2025-04-25,15,High‑Value Loyalists
R00447,8,25,413.22,2025-04-20,14,High‑Value Loyalists
R00448,9,26,420.08,2025-04-19,14,High‑Value Loyalists
R00449,23,20,323.77,2025-04-05,9,Regular Commuters
R00450,1,18,264.31,2025-04-27,9,Regular Commuters
R00451,7,26,361.08,2025-04-21,13,High‑Value Loyalists
R00452,3,22,358.66,2025-04-25,13,High‑Value Loyalists
R00453,38,17,246.84,2025-03-21,5,At Risk Users
R00454,1,18,287.84,2025-04-27,10,Regular Commuters
R00455,36,21,303.01,2025-03-23,7,Occasional Riders
R00456,7,21,333.12,2025-04-21,11,Regular Commuters
R00457,3,12,198.67,2025-04-25,7,Occasional Riders
R00458,10,25,389.94,2025-04-18,14,High‑Value Loyalists
R00459,46,16,269.78,2025-03-13,4,At Risk Users
R00460,3,15,237.57,2025-04-25,7,Occasional Riders
R00461,19,17,293.51,2025-04-09,7,Occasional Riders
R00462,33,27,374.49,2025-03-26,11,Regular Commuters
R00463,22,31,455.16,2025-04-06,12,High‑Value Loyalists
R00464,45,14,238.74,2025-03-14,3,At Risk Users
R00465,25,29,429.28,2025-04-03,12,High‑Value Loyalists
R00466,8,13,210.32,2025-04-20,6,Occasional Riders
R00467,7,17,248.05,2025-04-21,8,Occasional Riders
